Filename	IOU	F1	Score
0482.png	0.5340	0.6963	61.51
0741.png	0.5891	0.7414	66.53
0859.png	0.0000	0.0000	0.00
0887.png	0.0000	0.0000	0.00
0904.png	0.3851	0.5560	47.06
1083.png	0.0000	0.0000	0.00
1096.png	0.0000	0.0000	0.00
1109.png	0.0000	0.0000	0.00
1136.png	0.0000	0.0000	0.00
1459.png	0.0000	0.0000	0.00
1473.png	0.0000	0.0000	0.00
1487.png	0.0000	0.0000	0.00
1518.png	0.0000	0.0000	0.00
1734.png	0.0000	0.0000	0.00
1840.png	0.0000	0.0000	0.00
2768.png	0.2155	0.3546	28.50
2846.png	0.6684	0.8012	73.48
2853.png	0.7841	0.8790	83.16
2912.png	0.7283	0.8428	78.55
2962.png	0.6546	0.7912	72.29
3057.png	0.2989	0.4602	37.96
3061.png	0.5441	0.7047	62.44
3135.png	0.0000	0.0000	0.00
3217.png	0.7401	0.8507	79.54
3381.png	0.6578	0.7936	72.57
3388.png	0.6512	0.7887	72.00
3682.png	0.8509	0.9194	88.52
3778.png	0.0800	0.1482	11.41
3843.png	0.5985	0.7488	67.37
3881.png	0.8468	0.9170	88.19
3993.png	0.6914	0.8176	75.45
4068.png	0.6248	0.7691	69.70
4531.png	0.7985	0.8880	84.33
4778.png	0.4493	0.6200	53.46
4921.png	0.4507	0.6213	53.60
5052.png	0.2644	0.4183	34.14
5078.png	0.6685	0.8013	73.49
5224.png	0.8508	0.9194	88.51
5365.png	0.0000	0.0000	0.00
5398.png	0.0000	0.0000	0.00
5650.png	0.6335	0.7756	70.46
5761.png	0.0000	0.0000	0.00
5795.png	0.8006	0.8893	84.50
5800.png	0.8506	0.9193	88.49
5853.png	0.3717	0.5419	45.68
6048.png	0.6161	0.7624	68.92
6340.png	0.6627	0.7972	73.00
6382.png	0.8121	0.8963	85.42
6744.png	0.5675	0.7240	64.58
6772.png	0.5310	0.6936	61.23
7537.png	0.6381	0.7791	70.86
7859.png	0.3048	0.4672	38.60
0188.png	0.4892	0.6570	57.31
0274.png	0.7586	0.8627	81.06
0320.png	0.0617	0.1162	8.89
0335.png	0.1272	0.2257	17.65
0665.png	0.3273	0.4932	41.02
0684.png	0.3209	0.4859	40.34
0731.png	0.0000	0.0000	0.00
0835.png	0.0000	0.0000	0.00
0995.png	0.5114	0.6767	59.41
1007.png	0.6370	0.7782	70.76
1012.png	0.6844	0.8126	74.85
1038.png	0.4912	0.6588	57.50
1153.png	0.0000	0.0000	0.00
1416.png	0.0000	0.0000	0.00
3663.png	0.8408	0.9135	87.71
4305.png	0.6671	0.8003	73.37
4423.png	0.4425	0.6135	52.80
4944.png	0.0000	0.0000	0.00
5163.png	0.5093	0.6749	59.21
5241.png	0.6784	0.8084	74.34
5300.png	0.8141	0.8975	85.58
5645.png	0.6342	0.7762	70.52
5815.png	0.5123	0.6775	59.49
6031.png	0.4180	0.5896	50.38
6165.png	0.2005	0.3341	26.73
6247.png	0.6708	0.8030	73.69
6580.png	0.4475	0.6183	53.29
6688.png	0.5864	0.7393	66.28
6839.png	0.5820	0.7358	65.89
7257.png	0.0000	0.0000	0.00
7803.png	0.2640	0.4177	34.09
7957.png	0.0817	0.1511	11.64
0160.png	0.8049	0.8919	84.84
0175.png	0.5048	0.6709	58.79
0564.png	0.4920	0.6595	57.58
0585.png	0.6355	0.7771	70.63
1656.png	0.0000	0.0000	0.00
2948.png	0.6858	0.8136	74.97
2954.png	0.5937	0.7451	66.94
3187.png	0.8661	0.9282	89.72
3409.png	0.6105	0.7581	68.43
3423.png	0.6146	0.7613	68.79
3548.png	0.7522	0.8586	80.54
3583.png	0.7049	0.8269	76.59
3701.png	0.4063	0.5779	49.21
3714.png	0.7271	0.8420	78.45
3805.png	0.7117	0.8316	77.17
4400.png	0.4908	0.6584	57.46
4649.png	0.7684	0.8690	81.87
4722.png	0.0000	0.0000	0.00
4993.png	0.3286	0.4946	41.16
5718.png	0.7763	0.8741	82.52
5836.png	0.6580	0.7937	72.58
5962.png	0.0000	0.0000	0.00
6038.png	0.0000	0.0000	0.00
6153.png	0.4254	0.5969	51.11
6264.png	0.2246	0.3668	29.57
6429.png	0.8339	0.9094	87.17
6557.png	0.6082	0.7564	68.23
6568.png	0.6396	0.7802	70.99
6660.png	0.9133	0.9547	93.40
7280.png	0.3389	0.5062	42.25
7665.png	0.7735	0.8723	82.29
0255.png	0.2499	0.3999	32.49
0257.png	0.2606	0.4134	33.70
0314.png	0.2544	0.4056	33.00
0418.png	0.6339	0.7760	70.49
0590.png	0.6832	0.8118	74.75
0698.png	0.5129	0.6780	59.54
0710.png	0.2026	0.3369	26.97
0989.png	0.6837	0.8122	74.80
1158.png	0.0000	0.0000	0.00
1167.png	0.0000	0.0000	0.00
1804.png	0.0000	0.0000	0.00
2802.png	0.4675	0.6372	55.23
3298.png	0.8317	0.9081	86.99
3338.png	0.7405	0.8509	79.57
3421.png	0.5377	0.6994	61.85
3581.png	0.5724	0.7280	65.02
3596.png	0.4471	0.6180	53.26
3807.png	0.2243	0.3664	29.53
3838.png	0.0000	0.0000	0.00
4291.png	0.4755	0.6445	56.00
4402.png	0.7744	0.8729	82.37
4428.png	0.6912	0.8174	75.43
4826.png	0.4161	0.5876	50.19
4991.png	0.6801	0.8096	74.49
5003.png	0.5731	0.7286	65.09
5281.png	0.6215	0.7666	69.40
5283.png	0.0000	0.0000	0.00
5407.png	0.5768	0.7316	65.42
5546.png	0.2839	0.4422	36.30
5579.png	0.0000	0.0000	0.00
5671.png	0.9234	0.9602	94.18
5960.png	0.9134	0.9547	93.41
6010.png	0.6140	0.7609	68.74
6832.png	0.5740	0.7294	65.17
7672.png	0.5630	0.7204	64.17
0550.png	0.0533	0.1011	7.72
0587.png	0.0000	0.0000	0.00
0667.png	0.2659	0.4201	34.30
0693.png	0.4000	0.5714	48.57
0726.png	0.0227	0.0444	3.36
0837.png	0.4616	0.6316	54.66
0997.png	0.0000	0.0000	0.00
1555.png	0.0000	0.0000	0.00
1736.png	0.0000	0.0000	0.00
2690.png	0.8531	0.9207	88.69
3013.png	0.5491	0.7089	62.90
3199.png	0.0000	0.0000	0.00
3265.png	0.6969	0.8214	75.91
3284.png	0.8599	0.9246	89.23
3291.png	0.6749	0.8059	74.04
3307.png	0.4587	0.6289	54.38
